berthage,section
203116.0,后海大道辅道(蛇口北段)
203125.0,后海大道辅道(蛇口北段)
201113.0,荔园路(蛇口西段)
202305.0,海月路(东段)
202318.0,海月路(东段)
203026.0,四海路
201095.0,荔园路(蛇口西段)
203035.0,四海路
201154.0,荔园路(蛇口西段)
203258.0,荔园路(蛇口东段)
203004.0,四海路
201147.0,荔园路(蛇口西段)
201236.0,招商路(蛇口西段)
203119.0,后海大道辅道(蛇口北段)
203257.0,荔园路(蛇口东段)
203103.0,后海大道辅道(蛇口北段)
202211.0,金世纪路
202215.0,金世纪路
203270.0,荔园路(蛇口东段)
201228.0,招商路(蛇口西段)
202314.0,海月路(东段)
203045.0,四海路
203110.0,后海大道辅道(蛇口北段)
201193.0,招商路(蛇口西段)
203069.0,后海大道辅道(蛇口北段)
201116.0,荔园路(蛇口西段)
201243.0,招商路(蛇口西段)
201196.0,招商路(蛇口西段)
203018.0,四海路
201109.0,荔园路(蛇口西段)
201149.0,荔园路(蛇口西段)
201212.0,招商路(蛇口西段)
201130.0,荔园路(蛇口西段)
201145.0,荔园路(蛇口西段)
203009.0,四海路
202312.0,海月路(东段)
203252.0,荔园路(蛇口东段)
203264.0,荔园路(蛇口东段)
202306.0,海月路(东段)
203074.0,后海大道辅道(蛇口北段)
201239.0,招商路(蛇口西段)
201200.0,招商路(蛇口西段)
203061.0,后海大道辅道(蛇口北段)
203124.0,后海大道辅道(蛇口北段)
202213.0,金世纪路
203031.0,四海路
201120.0,荔园路(蛇口西段)
201166.0,荔园路(蛇口西段)
201183.0,招商路(蛇口西段)
203266.0,荔园路(蛇口东段)
203008.0,四海路
203015.0,四海路
202218.0,金世纪路
203032.0,四海路
203050.0,四海路
203089.0,后海大道辅道(蛇口北段)
201230.0,招商路(蛇口西段)
201118.0,荔园路(蛇口西段)
203016.0,四海路
201119.0,荔园路(蛇口西段)
201141.0,荔园路(蛇口西段)
203049.0,四海路
201153.0,荔园路(蛇口西段)
201225.0,招商路(蛇口西段)
203066.0,后海大道辅道(蛇口北段)
202217.0,金世纪路
203101.0,后海大道辅道(蛇口北段)
203086.0,后海大道辅道(蛇口北段)
203127.0,后海大道辅道(蛇口北段)
203128.0,后海大道辅道(蛇口北段)
202311.0,海月路(东段)
201093.0,荔园路(蛇口西段)
203022.0,四海路
201103.0,荔园路(蛇口西段)
203080.0,后海大道辅道(蛇口北段)
203114.0,后海大道辅道(蛇口北段)
201142.0,荔园路(蛇口西段)
202235.0,金世纪路
202234.0,金世纪路
203072.0,后海大道辅道(蛇口北段)
203085.0,后海大道辅道(蛇口北段)
203111.0,后海大道辅道(蛇口北段)
202210.0,金世纪路
201186.0,招商路(蛇口西段)
201224.0,招商路(蛇口西段)
202304.0,海月路(东段)
201199.0,招商路(蛇口西段)
201092.0,荔园路(蛇口西段)
