section,avg_parking_time
招商路(蛇口西段),2956
后海大道辅道(蛇口北段),4003
荔园路(蛇口西段),3300
荔园路(蛇口东段),3442
四海路,3562
金世纪路,3613
海月路(东段),3370
创业路(南油段),4091
工业九路,3014
南新路,3361
海德二道（南油段）,3123
后海大道辅道(后海段),3731
登良路,3171
学府路(前海段),2957
龙城路,3814
南头街,3638
常兴路,2440
华明路,3611
文心四路,2895
文心三路,3551
文心一路,4064
中心路(后海湾段),4472
文心二路,3744
创业路(后海湾段),4218
海德一道(后海湾段),5583
文心五路,3059
创业路辅道,3936
文心六路,4012
海德一道,3860
高新南环路,3355
科技南路,2870
海德二道,3927
海德三道,3696
科技南一路,3727
高新南九道,3843
高新南十一道,3278
高新南十道,3362
高新南七道,4256
科技南十路,2876
科技南十二路,3449
高新南五道,3333
高新南三道,2682
高新南四道,3145
