berthage,avg_parking_time
201118.0,2854
201167.0,3879
203254.0,2534
201174.0,4052
203030.0,2972
203262.0,3129
203026.0,2773
201232.0,3673
202208.0,3419
202304.0,2280
202312.0,3536
201206.0,3420
203265.0,3661
203050.0,3848
201218.0,2942
203051.0,3856
203010.0,3926
201111.0,3095
201187.0,2744
201217.0,2856
201097.0,3958
201150.0,3671
202311.0,3795
203104.0,3511
203014.0,3579
201225.0,3116
203011.0,4085
203109.0,3104
201131.0,2664
203017.0,3357
202218.0,3571
203040.0,3606
202234.0,3935
203049.0,3911
203061.0,3965
203090.0,5569
203121.0,3322
201229.0,2541
203005.0,3902
203038.0,3190
201098.0,4064
201181.0,2931
201163.0,3832
202214.0,3602
201189.0,2685
203012.0,4387
203002.0,4059
203064.0,4247
203261.0,2919
201124.0,3076
203041.0,3588
203069.0,3648
203260.0,3030
201109.0,3262
201215.0,2754
203081.0,4157
201236.0,3361
203015.0,3743
201169.0,3523
203110.0,3130
201146.0,3242
201221.0,2983
203046.0,3970
203113.0,3578
203258.0,2928
201220.0,2951
201132.0,2612
201239.0,3374
203027.0,2817
202213.0,3778
203008.0,4075
203266.0,3099
201128.0,2757
201188.0,2837
203028.0,3020
201148.0,3465
203022.0,2408
203259.0,2876
202318.0,3486
203103.0,3349
201240.0,3216
203101.0,3147
203111.0,2871
203025.0,3624
201112.0,2909
202216.0,3825
202219.0,3679
201244.0,3433
201094.0,4041
201190.0,2636
202212.0,3278
203078.0,4385
202310.0,3678
203036.0,3939
201168.0,4056
201159.0,4705
202217.0,3737
201183.0,2775
203042.0,3496
201246.0,3200
203019.0,2460
202235.0,3719
203004.0,3947
203024.0,2881
201147.0,2998
203112.0,4186
203119.0,3907
201186.0,2794
202305.0,2798
203076.0,5403
203123.0,4102
201235.0,3648
201222.0,2942
203087.0,4740
201105.0,3099
203077.0,2790
202315.0,4560
203270.0,3368
203034.0,3681
201143.0,3285
201185.0,2780
201194.0,2820
203006.0,4301
201161.0,3465
201164.0,3550
201227.0,2640
203252.0,2637
201196.0,3202
202316.0,4383
202207.0,3572
202319.0,3814
203033.0,3631
203120.0,5193
203269.0,3555
201171.0,4043
203084.0,4218
203124.0,3635
201107.0,3298
201197.0,3562
203045.0,4109
203105.0,3931
203035.0,3685
203070.0,4118
201154.0,3535
201219.0,2896
203251.0,2528
201173.0,4031
201108.0,2875
203083.0,3642
203272.0,3417
203080.0,4662
203102.0,3266
202309.0,3750
203013.0,3752
203063.0,4605
201130.0,2706
201201.0,3067
201100.0,4000
201195.0,3106
202314.0,3626
201127.0,2925
201125.0,2884
202308.0,3471
203021.0,2702
201155.0,3301
201211.0,2579
203072.0,5215
203116.0,3891
201116.0,3176
